year,region,attack_type,target_type,weapon_type,incidents,killed,wounded,success_rate
1971,North America,Unknown,Police,Unknown,1,1,0,1.0
1971,South America,Armed Assault,Business,Firearms,1,0,0,1.0
1971,South America,Armed Assault,Educational Institution,Firearms,2,0,0,1.0
1971,South America,Armed Assault,Government (Diplomatic),Incendiary,1,0,0,1.0
1971,South America,Armed Assault,Journalists & Media,Firearms,2,0,0,1.0
1971,South America,Armed Assault,Military,Firearms,1,1,0,1.0
1971,South America,Armed Assault,Police,Firearms,1,3,0,1.0
1971,South America,Assassination,Military,Unknown,1,1,0,1.0
1971,South America,Assassination,Police,Firearms,1,1,0,1.0
1971,South America,Bombing/Explosion,Business,Explosives,1,0,0,1.0
1971,South America,Bombing/Explosion,Journalists & Media,Explosives,1,0,0,1.0
1971,South America,Bombing/Explosion,Military,Explosives,1,0,0,1.0
1971,South America,Facility/Infrastructure Attack,Business,Incendiary,2,0,0,1.0
1971,South America,Hostage Taking (Kidnapping),Business,Unknown,7,0,0,1.0
1971,South America,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,1,0,0,1.0
1971,South America,Hostage Taking (Kidnapping),Government (General),Unknown,1,0,0,1.0
1971,Southeast Asia,Assassination,Government (Diplomatic),Explosives,2,2,10,0.5
1971,Southeast Asia,Bombing/Explosion,Business,Explosives,1,0,0,1.0
1971,Southeast Asia,Bombing/Explosion,Government (Diplomatic),Explosives,1,0,0,1.0
1971,Southeast Asia,Bombing/Explosion,Military,Explosives,1,0,0,1.0
1971,Southeast Asia,Hijacking,Airports & Aircraft,Firearms,1,0,0,1.0
1971,Sub-Saharan Africa,Hijacking,Airports & Aircraft,Unknown,1,0,0,1.0
1971,Sub-Saharan Africa,Hostage Taking (Kidnapping),Government (General),Unknown,1,1,0,1.0
1971,Western Europe,Armed Assault,Business,Firearms,1,0,0,1.0
1971,Western Europe,Armed Assault,Educational Institution,Firearms,1,0,0,1.0
1971,Western Europe,Armed Assault,Government (Diplomatic),Firearms,1,0,0,1.0
1971,Western Europe,Armed Assault,Military,Firearms,1,1,0,1.0
1971,Western Europe,Armed Assault,Military,Incendiary,1,0,0,1.0
1971,Western Europe,Assassination,Government (Diplomatic),Explosives,1,0,3,0.0
1971,Western Europe,Assassination,Government (Diplomatic),Unknown,2,1,3,0.5
1971,Western Europe,Assassination,Government (General),Explosives,1,1,0,1.0
1971,Western Europe,Assassination,Maritime,Firearms,1,1,0,1.0
1971,Western Europe,Assassination,Military,Firearms,39,40,0,0.9743589743589743
1971,Western Europe,Assassination,Police,Firearms,6,10,0,1.0
1971,Western Europe,Assassination,Private Citizens & Property,Firearms,8,8,0,1.0
1971,Western Europe,Assassination,Terrorists/Non-State Militia,Firearms,1,1,0,1.0
1971,Western Europe,Bombing/Explosion,Airports & Aircraft,Explosives,3,0,0,1.0
1971,Western Europe,Bombing/Explosion,Business,Explosives,15,30,0,1.0
1971,Western Europe,Bombing/Explosion,Educational Institution,Explosives,2,0,0,1.0
1971,Western Europe,Bombing/Explosion,Government (Diplomatic),Explosives,2,0,0,1.0
1971,Western Europe,Bombing/Explosion,Government (General),Explosives,5,0,0,0.8
1971,Western Europe,Bombing/Explosion,Journalists & Media,Explosives,2,0,0,1.0
1971,Western Europe,Bombing/Explosion,Military,Explosives,8,14,0,1.0
1971,Western Europe,Bombing/Explosion,NGO,Explosives,1,1,0,1.0
1971,Western Europe,Bombing/Explosion,Police,Explosives,2,0,0,1.0
1971,Western Europe,Bombing/Explosion,Private Citizens & Property,Explosives,3,2,0,0.3333333333333333
1971,Western Europe,Bombing/Explosion,Telecommunication,Explosives,2,0,0,1.0
1971,Western Europe,Bombing/Explosion,Transportation,Explosives,2,0,0,1.0
1971,Western Europe,Bombing/Explosion,Utilities,Explosives,4,1,0,0.75
1971,Western Europe,Facility/Infrastructure Attack,Business,Incendiary,4,1,0,1.0
1971,Western Europe,Facility/Infrastructure Attack,Government (General),Incendiary,1,0,0,1.0
1971,Western Europe,Facility/Infrastructure Attack,Police,Incendiary,1,0,0,1.0
1971,Western Europe,Hijacking,Airports & Aircraft,Explosives,1,0,0,1.0
1971,Western Europe,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,3,0,0,0.3333333333333333
1972,Australasia & Oceania,Assassination,Government (Diplomatic),Explosives,6,0,0,0.0
1972,Australasia & Oceania,Bombing/Explosion,Business,Explosives,1,1,0,1.0
1972,Australasia & Oceania,Bombing/Explosion,Tourists,Explosives,1,0,0,1.0
1972,Central America & Caribbean,Bombing/Explosion,Airports & Aircraft,Explosives,2,0,0,1.0
1972,Central America & Caribbean,Bombing/Explosion,Government (Diplomatic),Explosives,1,0,0,1.0
1972,Eastern Europe,Bombing/Explosion,Airports & Aircraft,Explosives,1,26,0,1.0
1972,Middle East & North Africa,Armed Assault,Military,Incendiary,1,0,0,1.0
1972,Middle East & North Africa,Armed Assault,Private Citizens & Property,Firearms,1,1,3,1.0
1972,Middle East & North Africa,Assassination,Government (General),Explosives,12,0,0,0.08333333333333333
1972,Middle East & North Africa,Assassination,Military,Explosives,1,0,1,0.0
1972,Middle East & North Africa,Assassination,Military,Firearms,1,0,0,0.0
1972,Middle East & North Africa,Assassination,NGO,Explosives,4,0,0,0.0
1972,Middle East & North Africa,Assassination,Private Citizens & Property,Explosives,3,0,0,0.0
1972,Middle East & North Africa,Bombing/Explosion,Airports & Aircraft,Firearms,1,26,72,1.0
1972,Middle East & North Africa,Bombing/Explosion,Business,Explosives,4,0,3,0.75
1972,Middle East & North Africa,Bombing/Explosion,Government (Diplomatic),Explosives,8,3,2,0.75
1972,Middle East & North Africa,Bombing/Explosion,Government (General),Explosives,3,0,0,0.6666666666666666
1972,Middle East & North Africa,Bombing/Explosion,NGO,Explosives,1,0,0,1.0
1972,Middle East & North Africa,Bombing/Explosion,Private Citizens & Property,Explosives,5,0,0,1.0
1972,Middle East & North Africa,Bombing/Explosion,Utilities,Explosives,1,0,0,0.0
1972,Middle East & North Africa,Hijacking,Airports & Aircraft,Explosives,1,0,0,0.0
1972,Middle East & North Africa,Hijacking,Airports & Aircraft,Unknown,4,0,2,1.0
1972,Middle East & North Africa,Hostage Taking (Barricade Incident),Government (Diplomatic),Firearms,1,0,0,1.0
1972,Middle East & North Africa,Hostage Taking (Kidnapping),Military,Unknown,1,3,0,1.0
1972,North America,Armed Assault,Business,Firearms,1,2,3,0.0
1972,North America,Armed Assault,Police,Firearms,2,3,2,1.0
1972,North America,Assassination,Government (Diplomatic),Explosives,4,0,0,0.0
1972,North America,Assassination,Police,Firearms,1,2,0,1.0
1972,North America,Assassination,Private Citizens & Property,Explosives,1,0,1,0.0
1972,North America,Assassination,Private Citizens & Property,Firearms,2,0,0,0.0
