year,region,incidents,killed,wounded,success_rate
2004,Western Europe,59,196,1853,0.847457627118644
2005,Central America & Caribbean,3,1,14,1.0
2005,Central Asia,11,18,66,0.6363636363636364
2005,East Asia,2,12,3,1.0
2005,Eastern Europe,76,158,352,0.868421052631579
2005,Middle East & North Africa,882,3918,7220,0.9489795918367347
2005,North America,22,2,0,0.7727272727272727
2005,South America,49,152,108,0.9795918367346939
2005,South Asia,604,1365,2883,0.9619205298013245
2005,Southeast Asia,204,266,846,0.946078431372549
2005,Sub-Saharan Africa,60,379,350,0.9666666666666667
2005,Western Europe,104,60,942,0.9423076923076923
2006,Australasia & Oceania,2,0,0,1.0
2006,Central America & Caribbean,5,7,1,1.0
2006,Central Asia,6,6,6,0.6666666666666666
2006,East Asia,1,0,1,1.0
2006,Eastern Europe,70,59,75,0.9285714285714286
2006,Middle East & North Africa,1187,5032,9198,0.9688289806234204
2006,North America,15,8,48,0.8666666666666667
2006,South America,50,93,106,0.96
2006,South Asia,938,2937,5142,0.9712153518123667
2006,Southeast Asia,272,260,582,0.9779411764705882
2006,Sub-Saharan Africa,114,972,360,0.9736842105263158
2006,Western Europe,98,6,31,0.8571428571428571
2007,Australasia & Oceania,1,0,0,1.0
2007,Central America & Caribbean,4,2,2,0.75
2007,Central Asia,4,1,1,1.0
2007,Eastern Europe,62,57,144,0.9354838709677419
2007,Middle East & North Africa,1385,7180,14709,0.9660649819494584
2007,North America,18,25,6,0.8333333333333334
2007,South America,47,83,163,0.9787234042553191
2007,South Asia,982,3686,5324,0.9694501018329938
2007,Southeast Asia,365,390,1057,0.958904109589041
2007,Sub-Saharan Africa,302,1383,1074,0.9668874172185431
2007,Western Europe,72,17,44,0.8888888888888888
2008,Australasia & Oceania,8,0,0,0.25
2008,Central Asia,36,20,77,0.9166666666666666
2008,East Asia,25,39,197,0.84
2008,Eastern Europe,209,101,332,0.8133971291866029
2008,Middle East & North Africa,1536,3467,8545,0.94140625
2008,North America,31,23,126,0.9354838709677419
2008,South America,144,109,253,0.875
2008,South Asia,1759,3517,6427,0.9226833428084139
2008,Southeast Asia,514,403,1060,0.9007782101167315
2008,Sub-Saharan Africa,380,1475,1905,0.9184210526315789
2008,Western Europe,163,3,76,0.8588957055214724
2009,Australasia & Oceania,1,0,0,1.0
2009,Central America & Caribbean,9,3,1,0.7777777777777778
2009,Central Asia,31,10,30,0.967741935483871
2009,East Asia,8,186,56,1.0
2009,Eastern Europe,165,143,275,0.8242424242424242
2009,Middle East & North Africa,1361,2982,9862,0.9294636296840558
2009,North America,16,20,44,0.875
2009,South America,159,136,244,0.89937106918239
2009,South Asia,1945,3565,6729,0.9537275064267352
2009,Southeast Asia,561,482,892,0.9340463458110517
2009,Sub-Saharan Africa,283,1731,901,0.9681978798586572
2009,Western Europe,182,15,104,0.9505494505494505
2010,Australasia & Oceania,1,0,0,1.0
2010,Central America & Caribbean,1,0,0,1.0
2010,Central Asia,9,8,43,0.8888888888888888
2010,East Asia,1,7,14,1.0
2010,Eastern Europe,261,235,639,0.8544061302681992
2010,Middle East & North Africa,1463,2663,7871,0.9090909090909091
2010,North America,24,4,17,0.75
2010,South America,148,58,149,0.7567567567567568
2010,South Asia,1981,3695,5396,0.9328621908127208
2010,Southeast Asia,473,322,634,0.9386892177589852
2010,Sub-Saharan Africa,331,830,1142,0.9365558912386707
2010,Western Europe,133,5,42,0.6691729323308271
2011,Central America & Caribbean,1,2,0,1.0
2011,Central Asia,9,13,3,0.7777777777777778
2011,East Asia,4,19,32,1.0
2011,Eastern Europe,198,174,595,0.8535353535353535
2011,Middle East & North Africa,1663,2651,6089,0.9049909801563439
2011,North America,12,0,3,0.6666666666666666
2011,South America,106,43,90,0.8490566037735849
2011,South Asia,2138,3725,5408,0.9284377923292797
2011,Southeast Asia,356,299,730,0.9157303370786517
2011,Sub-Saharan Africa,494,1237,1613,0.9210526315789473
2011,Western Europe,95,83,96,0.5894736842105263
2012,Central America & Caribbean,1,2,1,1.0
2012,Central Asia,12,6,11,0.6666666666666666
2012,East Asia,4,27,38,0.75
2012,Eastern Europe,173,179,332,0.791907514450867
2012,Middle East & North Africa,2409,5033,10861,0.9319219593192196
2012,North America,39,24,15,0.9230769230769231
2012,South America,133,180,470,0.9473684210526315
2012,South Asia,3803,6586,9640,0.8716802524322903
2012,Southeast Asia,587,453,1526,0.899488926746167
2012,Sub-Saharan Africa,1168,2996,2536,0.9195205479452054
2012,Western Europe,193,11,15,0.6580310880829016
2013,Australasia & Oceania,1,0,0,1.0
2013,Central America & Caribbean,14,9,3,0.7857142857142857
2013,Central Asia,7,2,2,0.42857142857142855
2013,East Asia,15,60,71,0.8666666666666667
2013,Eastern Europe,165,151,296,0.7878787878787878
2013,Middle East & North Africa,4560,10164,21496,0.9089912280701754
2013,North America,32,70,546,0.6875
2013,South America,182,160,292,0.9120879120879121
2013,South Asia,4612,7070,11098,0.8417172593235039
2013,Southeast Asia,1188,723,1392,0.8678451178451179
2013,Sub-Saharan Africa,999,3857,2407,0.928928928928929
2013,Western Europe,261,7,85,0.5823754789272031
2014,Australasia & Oceania,9,4,7,1.0
2014,Central America & Caribbean,5,5,65,0.6
2014,Central Asia,9,5,7,0.7777777777777778
2014,East Asia,43,322,478,0.8837209302325582
2014,Eastern Europe,962,1467,1329,0.8918918918918919
2014,Middle East & North Africa,6939,20080,22601,0.8937887303646058
2014,North America,37,34,27,0.8918918918918919
2014,South America,283,157,355,0.8692579505300353
2014,South Asia,4998,8358,9461,0.867547018807523
2014,Southeast Asia,1082,702,1451,0.8724584103512015
2014,Sub-Saharan Africa,2321,13351,5316,0.9465747522619561
2014,Western Europe,215,5,31,0.6604651162790698
2015,Australasia & Oceania,14,2,0,0.9285714285714286
2015,Central America & Caribbean,1,0,0,0.0
2015,Central Asia,10,13,12,0.6
2015,East Asia,28,123,84,0.8571428571428571
2015,Eastern Europe,684,790,1433,0.9122807017543859
2015,Middle East & North Africa,6036,17854,23757,0.8560304837640822
2015,North America,62,63,70,0.8709677419354839
2015,South America,176,128,145,0.875
2015,South Asia,4585,8300,10233,0.8113413304252999
2015,Southeast Asia,1072,646,1386,0.8208955223880597
2015,Sub-Saharan Africa,1964,10763,6397,0.9119144602851323
2015,Western Europe,333,171,526,0.7297297297297297
2016,Australasia & Oceania,10,0,1,1.0
2016,Central America & Caribbean,3,9,0,1.0
2016,Central Asia,17,21,25,0.7647058823529411
2016,East Asia,8,32,44,1.0
2016,Eastern Europe,134,112,107,0.7388059701492538
2016,Middle East & North Africa,6115,19205,23433,0.8045789043336059
2016,North America,75,73,173,0.8933333333333333
2016,South America,159,87,179,0.8867924528301887
2016,South Asia,3639,7803,9277,0.7568013190436933
2016,Southeast Asia,1077,639,1220,0.8254410399257196
2016,Sub-Saharan Africa,2077,6652,4642,0.8979297063071738
2016,Western Europe,273,238,900,0.7545787545787546
2017,Australasia & Oceania,12,4,24,0.75
2017,Central America & Caribbean,4,4,1,1.0
2017,Central Asia,7,6,7,0.8571428571428571
2017,East Asia,7,16,77,1.0
2017,Eastern Europe,110,101,183,0.8636363636363636
2017,Middle East & North Africa,3780,10819,8392,0.7468253968253968
2017,North America,97,124,963,0.9072164948453608
2017,South America,172,101,156,0.9244186046511628
2017,South Asia,3430,7664,8990,0.7688046647230321
2017,Southeast Asia,1020,811,1008,0.8392156862745098
2017,Sub-Saharan Africa,1970,6712,4617,0.8883248730964467
2017,Western Europe,291,83,509,0.7491408934707904
